"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"","Bibles","Bibles","","False","1","",""
"","Books","Livres","","False","2","",""
"","Brochures","Brochures","","False","4","",""
"","Indexes","Indices","","False","6","",""
"","Periodicals","Périodiques","","False","7","",""
"","Tracts","Tracts","","False","10","",""
"","Programs","Programmes","","False","12","",""
"","Periodicals","Périodiques","","False","13","",""
"","Periodicals","Périodiques","","False","14","",""
"","Other","Autres","","False","17","",""
"","Series","Rubriques","","False","22","",""
"","Media","Média","","False","25","",""
"","Periodicals","Périodiques","","False","30","",""
"","Programs","Programmes","","False","31","",""
